doc,class
product_type-shirt cut-button cut-button_down sleeve_style-cold_shoulder style-bohemian style-fun color-pattern color_group-pattern fabric-jean,0
product_type-shirt color-blue color_group-pale color_group-bright color_group-cool_color neckline-off_shoulder fabric-denim,0
product_type-shirt color-blue color_group-pale color_group-bright color_group-cool_color cut-pocket sleeve_style-short_sleeve fabric-denim,0
product_type-shirt sleeve_style-cold_shoulder sleeve_style-long_sleeve color-pattern color-white color_group-pattern color_group-pale style-classic style-fun cut-cutout,0
product_type-shirt fabric-crepe fabric-jean cut-pocket sleeve_style-short_sleeve fit-skinny,0
product_type-shirt cut-cross_front cut-keyhole_back cut-crisscross cut-keyhole color-black color_group-dark,0
product_type-shirt fabric-denim style-classic fit-classic_fit neckline-collar_button cut-pocket cut-button,0
product_type-shirt sleeve_style-dolman cut-peplum color-orange color-pink color_group-bright color_group-dark color_group-warm_color color_group-pale fabric-delicate fabric-jean style-flattering fit-skinny length-long,0
product_type-shirt cut-ruffle cut-cut_out cut-cutout sleeve_style-cold_shoulder,0
product_type-shirt sleeve_style-cold_shoulder sleeve_style-long_sleeve style-simple style-flattering style-classic fabric-denim cut-cutout cut-high_low_hem fit-loose,0
product_type-shirt cut-keyhole cut-tank color-pattern color-black color_group-pattern color_group-dark,0
product_type-shirt neckline-off_shoulder color-orange color-pink color_group-bright color_group-warm_color color_group-pale cut-smock cut-high_low_hem,0
product_type-shirt color-pattern color-purple color-white color_group-pattern color_group-pale color_group-cool_color sleeve_style-cold_shoulder sleeve_style-short_sleeve style-romantic style-elegant fit-skinny fabric-jean,0
product_type-shirt color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color neckline-high_neck cut-cut_out cut-cutout cut-tank fabric-slip fabric-jean fit-high_waist,0
product_type-shirt cut-cut_out cut-cutout color-black color_group-dark sleeve_style-short_sleeve,0
product_type-shirt neckline-high_neck cut-cut_out cut-wrap color-blue color-pattern color_group-bright color_group-dark color_group-cool_color color_group-pattern,0
product_type-shirt fabric-lace fabric-crochet sleeve_style-short_sleeve length-long color-pink color-green color_group-pale color_group-warm_color color_group-cool_color fit-loose,0
product_type-shirt,0
product_type-shirt fabric-denim fabric-cotton color-blue color-pattern color-white color-black color_group-bright color_group-cool_color color_group-pattern color_group-pale color_group-dark sleeve_style-long_sleeve cut-front_pocket,0
product_type-shirt sleeve_style-long_sleeve neckline-off_shoulder color-pink color-white color_group-pale fabric-denim,0
product_type-shirt sleeve_style-long_sleeve sleeve_style-bell_sleeve cut-cut_out color-black color_group-dark style-classic fit-slim fabric-jean,0
product_type-shirt sleeve_style-long_sleeve cut-ruffle cut-cuff color-pattern color-black color-white color_group-pattern color_group-dark color_group-pale fit-fitted fabric-jean,0
product_type-shirt color-purple color-pink color_group-pale color_group-cool_color color_group-warm_color cut-peplum sleeve_style-short_sleeve,0
product_type-shirt color-gray color-pink color_group-pale color_group-warm_color cut-tie_back fabric-lace,0
product_type-shirt fit-muscle fabric-denim style-classic color-white color-pattern color_group-pale color_group-pattern sleeve_style-short_sleeve cut-button_down,0
product_type-shirt neckline-off_shoulder fabric-crochet fabric-jean sleeve_style-bell_sleeve sleeve_style-long_sleeve color-blue color_group-bright color_group-dark color_group-cool_color length-short,0
product_type-shirt neckline-one_shoulder color-blue color-pattern color_group-bright color_group-dark color_group-cool_color color_group-pattern cut-ruffle cut-tie_waist fabric-jean length-short,0
product_type-shirt cut-pleated sleeve_style-cold_shoulder sleeve_style-short_sleeve style-retro style-fun style-simple fit-skinny fabric-slip fabric-jean,0
product_type-shirt color-red color-pink color-pattern color_group-dark color_group-warm_color color_group-pale color_group-pattern sleeve_style-bell_sleeve style-boho neckline-v_neck,0
product_type-shirt color-pink color-pattern color-purple color-orange color_group-pale color_group-warm_color color_group-pattern color_group-cool_color color_group-bright neckline-off_shoulder cut-tie_waist fit-loose,0
product_type-shirt color-white color-blue color_group-pale color_group-bright color_group-cool_color neckline-off_shoulder cut-smock cut-ruffle sleeve_style-bell_sleeve fabric-denim,0
product_type-shirt cut-ruffle sleeve_style-3_4_sleeve fabric-midweight style-flattering,0
product_type-shirt cut-keyhole_back cut-tank cut-keyhole sleeve_style-sleeveless,0
product_type-shirt color-pattern color-white color_group-pattern color_group-pale fabric-denim,0
product_type-shirt color-pattern color_group-pattern,0
