,parent_type,product_type,gender,dress_codes,percentages,counts,total_count
34,pants,cigarette pants,Female,"[""casual"",""dressy casual"",""business casual""]","['92.31%', '3.85%', '3.85%']","[24, 1, 1]",26
35,jeans,boyfriend jeans,Female,"[""cocktail"",""dressy casual"",""casual""]","['16.98%', '16.98%', '66.04%']","[18, 18, 70]",106
36,shirt,vest top,Male,"[""active"",""beach"",""dressy casual"",""casual"",""business formal""]","['44.34%', '24.43%', '0.49%', '24.27%', '6.47%']","[274, 151, 3, 150, 40]",618
37,sweater,pullover,Male,"[""active""]",['100.0%'],[2],2
38,pants,chinos,Female,"[""business formal"",""casual"",""dressy casual"",""business casual""]","['4.04%', '80.81%', '13.13%', '2.02%']","[4, 80, 13, 2]",99
39,pants,capri pants,Male,"[""casual""]",['100.0%'],[1],1
40,shirt,knit top,Female,"[""dressy casual"",""casual"",""business formal"",""active""]","['34.29%', '50.0%', '14.29%', '1.43%']","[24, 35, 10, 1]",70
41,pants,tights,Male,"[""active"",""casual"",""dressy casual""]","['89.76%', '9.84%', '0.4%']","[675, 74, 3]",752
42,pants,joggers,Male,"[""business formal"",""active"",""dressy casual"",""casual"",""creative black tie""]","['10.2%', '29.45%', '7.88%', '52.24%', '0.24%']","[260, 751, 201, 1332, 6]",2550
43,shorts,sport shorts,Male,"[""active"",""casual""]","['31.35%', '68.65%']","[389, 852]",1241
44,shorts,cargo shorts,Male,"[""active"",""beach"",""casual""]","['0.33%', '0.66%', '99.01%']","[2, 4, 600]",606
45,jumper,knit jumper,Male,"[""casual"",""active"",""dressy casual"",""festive""]","['50.85%', '27.12%', '15.25%', '6.78%']","[30, 16, 9, 4]",59
46,suit,tuxedo suit,Female,"[""business formal"",""casual""]","['80.0%', '20.0%']","[16, 4]",20
47,shorts,chino short,Female,"[""business formal"",""casual""]","['57.14%', '42.86%']","[8, 6]",14
48,jeans,carpenter jeans,Male,"[""casual""]",['100.0%'],[10],10
49,sweater,poncho,Male,"[""casual""]",['100.0%'],[6],6
50,pants,training pants,Female,"[""active""]",['100.0%'],[45],45
51,trousers,sweat trousers,Male,"[""active"",""casual""]","['30.93%', '69.07%']","[30, 67]",97
52,dress,bodycon dress,Female,"[""festive"",""dressy casual"",""business formal"",""white tie"",""casual"",""cocktail"",""business casual"",""creative black tie""]","['0.05%', '7.81%', '5.55%', '0.24%', '69.85%', '2.51%', '0.53%', '13.46%']","[1, 162, 115, 5, 1448, 52, 11, 279]",2073
53,pants,stirrup pants,Female,"[""active"",""casual"",""beach""]","['89.19%', '2.7%', '8.11%']","[66, 2, 6]",74
